wort;artikel;silben;trennung;wortart;gruppe;bild;bedeutung;satz;liste
Bach;der;Bach;Bach;Nomen;;;;;Merkwörter Klasse 2
Forelle;die;Fo-rel-le;Fo-rel-le;Nomen;;;;;Merkwörter Klasse 2
Zorn;der;Zorn;Zorn;Nomen;;;;;Merkwörter Klasse 2
Efeu;der;E-feu;Efeu;Nomen;;;eine Kletterpflanze mit immergrünen Blättern;An der Mauer wächst dichter Efeu.;Merkwörter Klasse 2
Mühle;die;Müh-le;Müh-le;Nomen;;;;;Merkwörter Klasse 2
Hering;der;He-ring;He-ring;Nomen;;;;;Merkwörter Klasse 2
Hieb;der;Hieb;Hieb;Nomen;;;ein kräftiger Schlag;Mit einem Hieb spaltete er das Holz.;Merkwörter Klasse 2
Getreide;das;Ge-trei-de;Ge-trei-de;Nomen;;;;;Merkwörter Klasse 2
Pflanze;die;Pflan-ze;Pflan-ze;Nomen;;;;;Merkwörter Klasse 2
Gras;das;Gras;Gras;Nomen;;;;;Merkwörter Klasse 2
Korn;das;Korn;Korn;Nomen;;;;;Merkwörter Klasse 2
Bestandteil;der;Be-stand-teil;Be-stand-teil;Nomen;;;ein Teil, aus dem etwas zusammengesetzt ist;Mehl ist ein wichtiger Bestandteil des Teigs.;Merkwörter Klasse 2
Mais;der;Mais;Mais;Nomen;;;;;Merkwörter Klasse 2
Roggen;der;Rog-gen;Rog-gen;Nomen;;;eine Getreideart, aus der dunkles Brot gebacken wird;Aus Roggen backt man dunkles Brot.;Merkwörter Klasse 2
Nahrung;die;Nah-rung;Nah-rung;Nomen;;;;;Merkwörter Klasse 2
Lebensmittel;die;Le-bens-mit-tel;Le-bens-mit-tel;Nomen;;;;;Merkwörter Klasse 2
Feld;das;Feld;Feld;Nomen;;;;;Merkwörter Klasse 2
mahlen;;mah-len;mah-len;Verb;;;;;Merkwörter Klasse 2
verarbeiten;;ver-ar-bei-ten;ver-ar-bei-ten;Verb;;;;;Merkwörter Klasse 2
bekannt;;be-kannt;be-kannt;Adjektiv;;;;;Merkwörter Klasse 2
Vortrag;der;Vor-trag;Vor-trag;Nomen;;;wenn jemand vor anderen über ein Thema spricht;Lina hält einen Vortrag über Pinguine.;Merkwörter Klasse 2
vor;;vor;vor;anderes;;;;;Merkwörter Klasse 2
Verben;;Ver-ben;Ver-ben;Nomen;;;;;Merkwörter Klasse 2
Vier;;Vier;Vier;Zahlwort;;;;;Merkwörter Klasse 2
Pavian;der;Pa-vi-an;Pa-vi-an;Nomen;;;ein Affe mit langer Schnauze, der in Afrika lebt;Der Pavian sitzt auf einem Felsen.;Merkwörter Klasse 2
Video;das;Vi-de-o;Vi-deo;Nomen;;;;;Merkwörter Klasse 2
Kurve;die;Kur-ve;Kur-ve;Nomen;;;;;Merkwörter Klasse 2
Vokale;die;Vo-ka-le;Vo-ka-le;Nomen;;;die Selbstlaute a, e, i, o und u;In dem Wort Banane stehen drei Vokale.;Merkwörter Klasse 2
vielen;;vie-len;vie-len;Zahlwort;;;;;Merkwörter Klasse 2
voll;;voll;voll;Adjektiv;;;;;Merkwörter Klasse 2
Viper;die;Vi-per;Vi-per;Nomen;;;eine giftige Schlange;Die Viper versteckt sich unter einem Stein.;Merkwörter Klasse 2
verschiedenen;;ver-schie-de-nen;ver-schie-de-nen;anderes;;;;;Merkwörter Klasse 2
Luchs;der;Luchs;Luchs;Nomen;;;eine Wildkatze mit Pinseln an den Ohren;Der Luchs schleicht durch den Wald.;Merkwörter Klasse 2
Experte;der;Ex-per-te;Ex-per-te;Nomen;;;;;Merkwörter Klasse 2
Lachs;der;Lachs;Lachs;Nomen;;;;;Merkwörter Klasse 2
Mixer;der;Mi-xer;Mi-xer;Nomen;;;;;Merkwörter Klasse 2
Nixe;die;Ni-xe;Ni-xe;Nomen;;;;;Merkwörter Klasse 2
Fuchs;der;Fuchs;Fuchs;Nomen;;;;;Merkwörter Klasse 2
Ochse;der;Och-se;Och-se;Nomen;;;ein männliches Rind, das schwere Lasten zieht;Der Ochse zieht den Wagen über das Feld.;Merkwörter Klasse 2
Axt;die;Axt;Axt;Nomen;;;;;Merkwörter Klasse 2
Pfosten;der;Pfos-ten;Pfos-ten;Nomen;;;ein senkrecht stehender Balken;Der Zaun hängt an einem morschen Pfosten.;Merkwörter Klasse 2
Camping;;Cam-ping;Cam-ping;Nomen;;;;;Merkwörter Klasse 2
Zelt;das;Zelt;Zelt;Nomen;;;;;Merkwörter Klasse 2
Fernglas;das;Fern-glas;Fern-glas;Nomen;;;;;Merkwörter Klasse 2
Vogel;der;Vo-gel;Vo-gel;Nomen;;;;;Merkwörter Klasse 2
Holz;das;Holz;Holz;Nomen;;;;;Merkwörter Klasse 2
Lagerfeuer;das;La-ger-feu-er;La-ger-feu-er;Nomen;;;;;Merkwörter Klasse 2
Schlafsack;der;Schlaf-sack;Schlaf-sack;Nomen;;;;;Merkwörter Klasse 2
Vater;der;Va-ter;Va-ter;Nomen;;;;;Merkwörter Klasse 2
heute;;heu-te;heu-te;anderes;;;;;Merkwörter Klasse 2
mitbringen;;mit-brin-gen;mit-brin-gen;Verb;;;;;Merkwörter Klasse 2
einpacken;;ein-pa-cken;ein-pa-cken;Verb;;;;;Merkwörter Klasse 2
trocken;;tro-cken;tro-cken;Adjektiv;;;;;Merkwörter Klasse 2
Zapfen;der;Zap-fen;Zap-fen;Nomen;;;;;Merkwörter Klasse 2
Lärche;die;Lär-che;Lär-che;Nomen;;;ein Nadelbaum, der im Herbst seine Nadeln verliert;Die Lärche verliert im Herbst ihre Nadeln.;Merkwörter Klasse 2
gedeihen;;ge-dei-hen;ge-dei-hen;Verb;;;;;Merkwörter Klasse 2
egoistisch;;e-go-is-tisch;ego-is-tisch;Adjektiv;;;;;Merkwörter Klasse 2
feige;;fei-ge;fei-ge;Adjektiv;;;;;Merkwörter Klasse 2
Brauchtum;das;Brauch-tum;Brauch-tum;Nomen;;;alte Sitten und Feste, die immer wieder gefeiert werden;Zu unserem Brauchtum gehören viele Feste.;Merkwörter Klasse 2
Seele;die;See-le;See-le;Nomen;;;;;Merkwörter Klasse 2
Begriff;der;Be-griff;Be-griff;Nomen;;;ein Wort für eine Sache oder eine Idee;Für diesen Begriff gibt es eine einfache Erklärung.;Merkwörter Klasse 2
Kelten;die;Kel-ten;Kel-ten;Nomen;;;ein Volk, das früher in Europa lebte;Die Kelten lebten vor sehr langer Zeit in Europa.;Merkwörter Klasse 2
Sommer;der;Som-mer;Som-mer;Nomen;;;;;Merkwörter Klasse 2
Festlichkeit;die;Fest-lich-keit;Fest-lich-keit;Nomen;;;eine Feier zu einem besonderen Anlass;Zur Festlichkeit kamen viele Gäste.;Merkwörter Klasse 2
verkleiden;;ver-klei-den;ver-klei-den;Verb;;;;;Merkwörter Klasse 2
verstecken;;ver-ste-cken;ver-ste-cken;Verb;;;;;Merkwörter Klasse 2
kommen;;kom-men;kom-men;Verb;;;;;Merkwörter Klasse 2
gruselig;;gru-se-lig;gru-se-lig;Adjektiv;;;;;Merkwörter Klasse 2
schnitzen;;schnit-zen;schnit-zen;Verb;;;;;Merkwörter Klasse 2
gespenstisch;;ge-spens-tisch;ge-spens-tisch;Adjektiv;;;;;Merkwörter Klasse 2
Vorfahre;der;Vor-fah-re;Vor-fah-re;Nomen;;;jemand aus der eigenen Familie, der lange vor einem gelebt hat;Mein Vorfahre lebte in diesem Dorf.;Merkwörter Klasse 2
Hund;der;Hund;Hund;Nomen;;;;;Merkwörter Klasse 2
Jahr;das;Jahr;Jahr;Nomen;;;;;Merkwörter Klasse 2
Fell;das;Fell;Fell;Nomen;;;;;Merkwörter Klasse 2
Rasse;die;Ras-se;Ras-se;Nomen;;;;;Merkwörter Klasse 2
Norden;;Nor-den;Nor-den;Nomen;;;;;Merkwörter Klasse 2
Geruchssinn;der;Ge-ruchs-sinn;Ge-ruchs-sinn;Nomen;;;die Fähigkeit, Dinge zu riechen;Der Hund hat einen sehr guten Geruchssinn.;Merkwörter Klasse 2
ausprägen;;aus-prä-gen;aus-prä-gen;Verb;;;;;Merkwörter Klasse 2
zähmen;;zäh-men;zäh-men;Verb;;;;;Merkwörter Klasse 2
hervorragend;;her-vor-ra-gend;her-vor-ra-gend;Adjektiv;;;;;Merkwörter Klasse 2
weiß;;weiß;weiß;Adjektiv;;;;;Merkwörter Klasse 2
europäisch;;eu-ro-pä-isch;eu-ro-pä-isch;Adjektiv;;;;;Merkwörter Klasse 2
November;der;No-vem-ber;No-vem-ber;Nomen;;;;;Merkwörter Klasse 2
Temperatur;die;Tem-pe-ra-tur;Tem-pe-ra-tur;Nomen;;;;;Merkwörter Klasse 2
Wetter;das;Wet-ter;Wet-ter;Nomen;;;;;Merkwörter Klasse 2
Wind;der;Wind;Wind;Nomen;;;;;Merkwörter Klasse 2
Tee;der;Tee;Tee;Nomen;;;;;Merkwörter Klasse 2
sinken;;sin-ken;sin-ken;Verb;;;;;Merkwörter Klasse 2
fröhlich;;fröh-lich;fröh-lich;Adjektiv;;;;;Merkwörter Klasse 2
draußen;;drau-ßen;drau-ßen;anderes;;;;;Merkwörter Klasse 2
anziehen;;an-zie-hen;an-zie-hen;Verb;;;;;Merkwörter Klasse 2
viele;;vie-le;vie-le;Zahlwort;;;;;Merkwörter Klasse 2
heiß;;heiß;heiß;Adjektiv;;;;;Merkwörter Klasse 2
Kaffee;der;Kaf-fee;Kaf-fee;Nomen;;;;;Merkwörter Klasse 2
Plätzchen;die;Plätz-chen;Plätz-chen;Nomen;;;;;Merkwörter Klasse 2
Utensilien;die;U-ten-si-li-en;Uten-si-li-en;Nomen;;;Dinge, die man für eine Arbeit braucht;Zum Backen legen wir alle Utensilien bereit.;Merkwörter Klasse 2
Rezept;das;Re-zept;Re-zept;Nomen;;;;;Merkwörter Klasse 2
Arbeitsfläche;die;Ar-beits-flä-che;Ar-beits-flä-che;Nomen;;;;;Merkwörter Klasse 2
Zutaten;die;Zu-ta-ten;Zu-ta-ten;Nomen;;;;;Merkwörter Klasse 2
Rührschüssel;die;Rühr-schüs-sel;Rühr-schüs-sel;Nomen;;;eine große Schüssel, in der man Teig rührt;Der Teig kommt in die Rührschüssel.;Merkwörter Klasse 2
Teig;der;Teig;Teig;Nomen;;;;;Merkwörter Klasse 2
Kühlschrank;der;Kühl-schrank;Kühl-schrank;Nomen;;;;;Merkwörter Klasse 2
Backofen;der;Back-o-fen;Back-ofen;Nomen;;;;;Merkwörter Klasse 2
rollen;;rol-len;rol-len;Verb;;;;;Merkwörter Klasse 2
liegen;;lie-gen;lie-gen;Verb;;;;;Merkwörter Klasse 2
bemehlen;;be-meh-len;be-meh-len;Verb;;;;;Merkwörter Klasse 2
ausstechen;;aus-ste-chen;aus-ste-chen;Verb;;;;;Merkwörter Klasse 2
zunächst;;zu-nächst;zu-nächst;anderes;;;;;Merkwörter Klasse 2
Bäcker;der;Bä-cker;Bä-cker;Nomen;;;;;Merkwörter Klasse 2
Notizen;die;No-ti-zen;No-ti-zen;Nomen;;;;;Merkwörter Klasse 2
Rezeptbuch;das;Re-zept-buch;Re-zept-buch;Nomen;;;;;Merkwörter Klasse 2
Tanz;der;Tanz;Tanz;Nomen;;;;;Merkwörter Klasse 2
Dezember;der;De-zem-ber;De-zem-ber;Nomen;;;;;Merkwörter Klasse 2
Schmerzen;die;Schmer-zen;Schmer-zen;Nomen;;;;;Merkwörter Klasse 2
Medizin;die;Me-di-zin;Me-di-zin;Nomen;;;;;Merkwörter Klasse 2
Pfütze;die;Pfüt-ze;Pfüt-ze;Nomen;;;;;Merkwörter Klasse 2
hacken;;ha-cken;ha-cken;Verb;;;;;Merkwörter Klasse 2
Katze;die;Kat-ze;Kat-ze;Nomen;;;;;Merkwörter Klasse 2
stolzieren;;stol-zie-ren;stol-zie-ren;Verb;;;;;Merkwörter Klasse 2
glücklich;;glück-lich;glück-lich;Adjektiv;;;;;Merkwörter Klasse 2
Stücke;die;Stü-cke;Stü-cke;Nomen;;;;;Merkwörter Klasse 2
Sack;der;Sack;Sack;Nomen;;;;;Merkwörter Klasse 2
Lack;der;Lack;Lack;Nomen;;;;;Merkwörter Klasse 2
Frack;der;Frack;Frack;Nomen;;;ein feiner schwarzer Anzug mit langen Schößen hinten;Der Zauberer trägt einen schwarzen Frack.;Merkwörter Klasse 2
necken;;ne-cken;ne-cken;Verb;;;;;Merkwörter Klasse 2
Zecken;die;Ze-cken;Ze-cken;Nomen;;;;;Merkwörter Klasse 2
stecken;;ste-cken;ste-cken;Verb;;;;;Merkwörter Klasse 2
Glück;das;Glück;Glück;Nomen;;;;;Merkwörter Klasse 2
Stück;das;Stück;Stück;Nomen;;;;;Merkwörter Klasse 2
zurück;;zu-rück;zu-rück;anderes;;;;;Merkwörter Klasse 2
Socken;die;So-cken;So-cken;Nomen;;;;;Merkwörter Klasse 2
Locken;die;Lo-cken;Lo-cken;Nomen;;;;;Merkwörter Klasse 2
hocken;;ho-cken;ho-cken;Verb;;;;;Merkwörter Klasse 2
sitzen;;sit-zen;sit-zen;Verb;;;;;Merkwörter Klasse 2
ritzen;;rit-zen;rit-zen;Verb;;;;;Merkwörter Klasse 2
Satz;der;Satz;Satz;Nomen;;;;;Merkwörter Klasse 2
Schatz;der;Schatz;Schatz;Nomen;;;;;Merkwörter Klasse 2
Spatz;der;Spatz;Spatz;Nomen;;;ein kleiner brauner Vogel, auch Sperling genannt;Ein Spatz pickt Krümel vom Boden.;Merkwörter Klasse 2
schützen;;schüt-zen;schüt-zen;Verb;;;;;Merkwörter Klasse 2
nützen;;nüt-zen;nüt-zen;Verb;;;;;Merkwörter Klasse 2
Mützen;die;Müt-zen;Müt-zen;Nomen;;;;;Merkwörter Klasse 2
Witze;die;Wit-ze;Wit-ze;Nomen;;;;;Merkwörter Klasse 2
Spritze;die;Sprit-ze;Sprit-ze;Nomen;;;;;Merkwörter Klasse 2
Blitze;die;Blit-ze;Blit-ze;Nomen;;;;;Merkwörter Klasse 2
Advent;der;Ad-vent;Ad-vent;Nomen;;;die vier Wochen vor Weihnachten;Im Advent zünden wir jede Woche eine Kerze an.;Merkwörter Klasse 2
Tannenzweige;die;Tan-nen-zwei-ge;Tan-nen-zwei-ge;Nomen;;;;;Merkwörter Klasse 2
strahlend;;strah-lend;strah-lend;Adjektiv;;;;;Merkwörter Klasse 2
backen;;ba-cken;ba-cken;Verb;;;;;Merkwörter Klasse 2
schmücken;;schmü-cken;schmü-cken;Verb;;;;;Merkwörter Klasse 2
